Category,No of Books,Top Ranked Books,Least Ranked Books
Childrens Middle Grade E-Book,5,"THE HAMMER OF THOR,WONDER,THE HIDDEN ORACLE","THE HIDDEN ORACLE,THE SWORD OF SUMMER,THE FINISHER"
E-Book Nonfiction,15,"HIDDEN FIGURES,HILLBILLY ELEGY,UNSINKABLE","BORN A CRIME,TROUBLEMAKER,THANK YOU FOR BEING LATE"
Paperback Advice,15,"OBAMACARE SURVIVAL GUIDE,THE FIVE LOVE LANGUAGES,THE BEAUTY DETOX FOODS","TO HEAVEN AND BACK,OUTSOURCE SMART,FROM MAMA'S TABLE TO MINE"
Food and Fitness,10,"COOKING FOR JEFFREY,APPETITES,THUG KITCHEN","THE LOSE YOUR BELLY DIET,THE FOOD LAB,ALTON BROWN:  EVERYDAYCOOK"
Hardcover Graphic Books,10,"KINDRED,DANTDM: TRAYAURUS AND THE ENCHANTED CRYSTAL,BATMAN: THE KILLING JOKE","STAR WARS: THE ORIGINAL TRILOGY,ONE HUNDRED NIGHTS OF HERO,FIGHT CLUB 2"
Childrens Middle Grade Hardcover,10,"DOG MAN UNLEASHED,THE GIRL WHO DRANK THE MOON,WONDER","PAX,WOMEN IN SCIENCE,THE PLAYBOOK"
Education,10,"THINKING, FAST AND SLOW,GRIT,THING EXPLAINER","BEST AMERICAN NONREQUIRED READING 2016,HOW NOT TO BE WRONG,OTHER-WORDLY"
Health,10,"WHEN BREATH BECOMES AIR,THE SUBTLE ART OF NOT GIVING A ----------,THE WHOLE30 COOKBOOK","THE ZERO SUGAR DIET,10-DAY GREEN SMOOTHIE CLEANSE,BEING MORTAL"
Expeditions Disasters and Adventures,10,"ATLAS OBSCURA,DEAD WAKE,SULLY","IN THE HEART OF THE SEA,THE OREGON TRAIL,PACIFIC"
Combined Print and E-Book Nonfiction,15,"HIDDEN FIGURES,HILLBILLY ELEGY,KILLING THE RISING SUN","BORN A CRIME,WHEN BREATH BECOMES AIR,ALEXANDER HAMILTON"
Manga,10,"THE LEGEND OF ZELDA: LEGENDARY EDITION, VOL. 2,ONE-PUNCH MAN, VOL. 10,THE ANCIENT MAGUS' BRIDE, VOL. 6","ONE-PUNCH MAN, VOL. 1,DEATH NOTE BLACK, VOL. 1,ATTACK ON TITAN, VOL. 20"
Hardcover Political Books,10,"KILLING THE RISING SUN,HILLBILLY ELEGY,SETTLE FOR MORE","WHITE TRASH,THE NEW JIM CROW,JUST MERCY"
Combined Print Nonfiction,20,"LET'S EXPLORE DIABETES WITH OWLS,LEAN IN,PROOF OF HEAVEN","THINKING, FAST AND SLOW,I'LL SEE YOU AGAIN,UNBROKEN"
Trade Fiction Paperback,10,"THE SHACK,A MAN CALLED OVE,BIG LITTLE LIES","BULLSEYE,THE ORPHAN'S TALE,THE HANDMAID'S TALE"
Fashion Manners and Customs,10,"GOOP CLEAN BEAUTY,PRIMATES OF PARK AVENUE,HOW TO TIE A SCARF","PEACOCK AND VINE,MIDCENTURY CHRISTMAS,EMPIRE OF COTTON"
Advice How-To and Miscellaneous,10,"YOU ARE A BADASS,THE FIVE LOVE LANGUAGES,THE SUBTLE ART OF NOT GIVING A ----------","THE LITTLE BOOK OF HYGGE,UNINVITED,THE LOSE YOUR BELLY DIET"
Culture,10,"HAMILTON: THE REVOLUTION,BORN A CRIME,THE DAILY SHOW (THE BOOK)","AT THE EXISTENTIALIST CAFE,SPQR,SPEAKING AMERICAN"
Young Adult Paperback,10,"THE BOOK THIEF,A MONSTER CALLS,THIRTEEN REASONS WHY","BEFORE I FALL,THE CELLAR,PASSENGER"
E-Book Fiction,15,"FULL PACKAGE,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,THE WHISTLER","THE DRY,A DOG'S PURPOSE,THE SLEEPWALKER"
Picture Books,10,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE,MIGHTY, MIGHTY CONSTRUCTION SITE,DRAGONS LOVE TACOS","ROSIE REVERE, ENGINEER,WAITING IS NOT EASY!,I DISSENT"
Series Books,10,"HARRY POTTER,DIARY OF A WIMPY KID,RED QUEEN","WHO WAS/IS … ?,PERCY JACKSON & THE OLYMPIANS,A SERIES OF UNFORTUNATE EVENTS"
Paperback Graphic Books,10,"GHOSTS,DRAMA,SMILE","SISTERS,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA,ROLLER GIRL"
Crime and Punishment,10,"THE DEVIL IN THE WHITE CITY,JUST MERCY,FILTHY RICH","ORANGE IS THE NEW BLACK,RED NOTICE,SISTERS IN LAW"
Games and Activities,10,"STRESS RELIEF COLORING BOOK,THE LEGO IDEAS BOOK,HARRY POTTER COLORING BOOK","MONSTER MANUAL,CREATIVE HAVEN DAZZLING DOGS COLORING BOOK,DOCTOR WHO COLORING BOOK"
Celebrities,10,"THE MAGNOLIA STORY,BORN TO RUN,SETTLE FOR MORE","SCRAPPY LITTLE NOBODY,THE PRINCESS DIARIST,SUPERFICIAL"
